metric;heuristic;benchmark;program;version;balancing;value;total_test_case;total_statement;total_test_positive;total_test_negative;total_test_equal;total_test_dif
topn;ochiai;defects4j;Chart;10;nenhum;3;1;54;0;1;0;1
topn;tarantula;defects4j;Chart;10;nenhum;3;1;54;0;1;0;1
topn;ochiai;defects4j;Chart;10;smote;3;1;54;0;1;0;1
topn;tarantula;defects4j;Chart;10;smote;3;1;54;0;1;0;1
topn;ochiai;defects4j;Chart;11;nenhum;19;27;194;26;1;0;27
topn;tarantula;defects4j;Chart;11;nenhum;19;27;194;26;1;0;27
topn;ochiai;defects4j;Chart;11;smote;19;27;194;26;1;0;27
topn;tarantula;defects4j;Chart;11;smote;19;27;194;26;1;0;27
topn;ochiai;defects4j;Chart;12;nenhum;31;119;4362;118;1;0;119
topn;tarantula;defects4j;Chart;12;nenhum;31;119;4362;118;1;0;119
topn;ochiai;defects4j;Chart;12;smote;31;119;4362;118;1;0;119
topn;tarantula;defects4j;Chart;12;smote;31;119;4362;118;1;0;119
topn;ochiai;defects4j;Chart;13;nenhum;0;42;887;41;1;0;42
topn;tarantula;defects4j;Chart;13;nenhum;0;42;887;41;1;0;42
topn;ochiai;defects4j;Chart;13;smote;0;42;887;41;1;0;42
topn;tarantula;defects4j;Chart;13;smote;0;42;887;41;1;0;42
topn;ochiai;defects4j;Chart;14;nenhum;26;243;6316;239;4;0;243
topn;tarantula;defects4j;Chart;14;nenhum;26;243;6316;239;4;0;243
topn;ochiai;defects4j;Chart;14;smote;500;243;6316;239;4;0;243
topn;tarantula;defects4j;Chart;14;smote;26;243;6316;239;4;0;243
topn;ochiai;defects4j;Chart;15;nenhum;12107;174;12108;173;1;0;174
topn;tarantula;defects4j;Chart;15;nenhum;12107;174;12108;173;1;0;174
topn;ochiai;defects4j;Chart;15;smote;12107;174;12108;173;1;0;174
topn;tarantula;defects4j;Chart;15;smote;12107;174;12108;173;1;0;174
topn;ochiai;defects4j;Chart;16;nenhum;35;20;299;13;7;0;20
topn;tarantula;defects4j;Chart;16;nenhum;5;20;299;13;7;0;20
topn;ochiai;defects4j;Chart;16;smote;35;20;299;13;7;0;20
topn;tarantula;defects4j;Chart;16;smote;5;20;299;13;7;0;20
topn;ochiai;defects4j;Chart;17;nenhum;2;35;1075;34;1;0;35
topn;tarantula;defects4j;Chart;17;nenhum;2;35;1075;34;1;0;35
topn;ochiai;defects4j;Chart;17;smote;2;35;1075;34;1;0;35
topn;tarantula;defects4j;Chart;17;smote;2;35;1075;34;1;0;35
topn;ochiai;defects4j;Chart;18;nenhum;16;112;393;108;4;0;112
topn;tarantula;defects4j;Chart;18;nenhum;20;112;393;108;4;0;112
topn;ochiai;defects4j;Chart;18;smote;33;112;393;108;4;0;112
topn;tarantula;defects4j;Chart;18;smote;20;112;393;108;4;0;112
topn;ochiai;defects4j;Chart;19;nenhum;6;192;4494;190;2;0;192
topn;tarantula;defects4j;Chart;19;nenhum;6;192;4494;190;2;0;192
topn;ochiai;defects4j;Chart;19;smote;701;192;4494;190;2;0;192
topn;tarantula;defects4j;Chart;19;smote;6;192;4494;190;2;0;192
topn;ochiai;defects4j;Chart;20;nenhum;7;85;518;84;1;0;85
topn;tarantula;defects4j;Chart;20;nenhum;7;85;518;84;1;0;85
topn;ochiai;defects4j;Chart;20;smote;7;85;518;84;1;0;85
topn;tarantula;defects4j;Chart;20;smote;7;85;518;84;1;0;85
topn;ochiai;defects4j;Chart;21;nenhum;15;13;596;12;1;0;13
topn;tarantula;defects4j;Chart;21;nenhum;15;13;596;12;1;0;13
topn;ochiai;defects4j;Chart;21;smote;15;13;596;12;1;0;13
topn;tarantula;defects4j;Chart;21;smote;15;13;596;12;1;0;13
topn;ochiai;defects4j;Chart;22;nenhum;89;27;247;21;6;0;27
topn;tarantula;defects4j;Chart;22;nenhum;46;27;247;21;6;0;27
topn;ochiai;defects4j;Chart;22;smote;92;27;247;21;6;0;27
topn;tarantula;defects4j;Chart;22;smote;86;27;247;21;6;0;27
topn;ochiai;defects4j;Chart;23;nenhum;0;5;4656;4;1;0;5
topn;tarantula;defects4j;Chart;23;nenhum;0;5;4656;4;1;0;5
topn;ochiai;defects4j;Chart;23;smote;0;5;4656;4;1;0;5
topn;tarantula;defects4j;Chart;23;smote;0;5;4656;4;1;0;5
topn;ochiai;defects4j;Chart;24;nenhum;4;7;26;6;1;0;7
topn;tarantula;defects4j;Chart;24;nenhum;4;7;26;6;1;0;7
topn;ochiai;defects4j;Chart;24;smote;4;7;26;6;1;0;7
topn;tarantula;defects4j;Chart;24;smote;4;7;26;6;1;0;7
topn;ochiai;defects4j;Chart;25;nenhum;3364;8;10880;5;3;0;8
topn;tarantula;defects4j;Chart;25;nenhum;3195;8;10880;5;3;0;8
topn;ochiai;defects4j;Chart;25;smote;3364;8;10880;5;3;0;8
topn;tarantula;defects4j;Chart;25;smote;3364;8;10880;5;3;0;8
topn;ochiai;defects4j;Chart;26;nenhum;139;465;20673;443;22;0;465
topn;tarantula;defects4j;Chart;26;nenhum;672;465;20673;443;22;0;465
topn;ochiai;defects4j;Chart;26;smote;139;465;20673;443;22;0;465
topn;tarantula;defects4j;Chart;26;smote;671;465;20673;443;22;0;465
